Name,smiles
PES_Me_Bz_Benzylamine_chloroform_TS3,CC(=O)NN.NCc1ccccc1.O=C=NC(=O)c1ccccc1
PES_Me_Bz_Benzylamine_chloroform_TS2,CC(=O)N[NH2]C(=O)NC(=O)c1ccccc1.NCc1ccccc1
PES_Me_Bz_Benzylamine_chloroform_TS1,CC(=O)NNC(=O)NC(=O)c1ccccc1.NCc1ccccc1.[HH]
PES_Me_Bz_Benzylamine_chloroform_INT1,CC(=O)NNC(=O)NC(=O)c1ccccc1.[NH3]Cc1ccccc1
PES_Me_Bz_Benzylamine_chloroform_RC1,CC(=O)NNC(=O)NC(=O)c1ccccc1.NCc1ccccc1
SN2_Me_Bz_Benzylamine_gas_TS2,NCc1ccccc1.O=C=NC(=O)c1ccccc1
SN2_Me_Bz_Benzylamine_gas_PC1,O=C(NC(=O)c1ccccc1)[NH2]Cc1ccccc1
SN2_Me_Bz_Benzylamine_gas_P1,O=C(NCc1ccccc1)NC(=O)c1ccccc1
PES_Me_Me_Dimer_gas_TS1,CC(=O)NN.CN=C=O.CNC(=O)NNC(C)=O.[HH]
PES_Me_Me_Dimer_gas_INT1,CNC(=O)NNC(C)=O.CNC(=O)[NH2]NC(C)=O
PES_Me_Me_Dimer_gas_PC1,CC(=O)NN.CN=C=O.CNC(=O)NNC(C)=O
PES_Me_Me_Dimer_gas_RC1,CNC(=O)NNC(C)=O.CNC(=O)NNC(C)=O
PES_Ph_Me_Hydrazide_dmso_TS3,CC(=O)NN.CN=C=O.NNC(=O)c1ccccc1
PES_Ph_Me_Hydrazide_dmso_TS2,CC(=O)N[NH3].Cnc(o)NNC(=O)c1ccccc1
PES_Ph_Me_Hydrazide_dmso_RC1,CC(=O)NN.CNC(=O)NNC(=O)c1ccccc1
PES_Me_Me_DMSO_dmso_TS2,CNC(=O)NNC(C)=O.CS(C)=O.[HH]
PES_Me_Me_DMSO_dmso_PC1,CC(=O)NN.CN=C=O.CS(C)=O
PES_Me_Me_DMSO_dmso_RC1,CNC(=O)NNC(C)=O.CS(C)=O
PES_Me_Ph_Benzylamine_gas_TS1,CC(=O)NNC(=O)Nc1ccccc1.[NH3]Cc1ccccc1
PES_Me_Ph_Benzylamine_gas_PC1,CC(=O)NN.NCc1ccccc1.O=C=Nc1ccccc1
PES_Me_Ph_Benzylamine_gas_RC1,CC(=O)NNC(=O)Nc1ccccc1.NCc1ccccc1
PES_Ph_Ph_Water_dmso_TS2,NNC(=O)c1ccccc1.O.O=C=Nc1ccccc1
PES_Ph_Ph_Water_dmso_TS1,O.O=C(Nc1ccccc1)[NH2]NC(=O)c1ccccc1.[HH]
PES_Ph_Ph_Water_dmso_RC1,O.O=C(NNC(=O)c1ccccc1)Nc1ccccc1
PES_Ph_Me_Hydrazide_gas_TS1,CC(=O)N[NH3].CNC(=O)NNC(=O)c1ccccc1
PES_Ph_Me_Water_gas_TS1,CNC(=O)[NH2]NC(=O)c1ccccc1.O
PES_Ph_Me_Water_gas_PC1,CN=C=O.NNC(=O)c1ccccc1.O
PES_Ph_Me_Water_gas_RC1,CNC(=O)NNC(=O)c1ccccc1.O
PES_Ph_Ph_DMSO_chloroform_TS1,CS(C)=O.O=C(NNC(=O)c1ccccc1)Nc1ccccc1.[HH]
PES_Ph_Ph_DMSO_chloroform_PC1,CS(C)=O.NNC(=O)c1ccccc1.O=C=Nc1ccccc1
PES_Ph_Ph_DMSO_chloroform_RC1,CS(C)=O.O=C(NNC(=O)c1ccccc1)Nc1ccccc1
PES_Me_Bz_DMSO_dmso_TS2,CC(=O)NNC(=O)NC(=O)c1ccccc1.CS(C)=O.[HH]
PES_Me_Bz_DMSO_dmso_PC1,CC(=O)NN.CS(C)=O.O=C=NC(=O)c1ccccc1
PES_Me_Bz_DMSO_dmso_RC1,CC(=O)NNC(=O)NC(=O)c1ccccc1.CS(C)=O
PES_Me_Bz_Dimer_gas_TS1,CC(=O)NN.CC(=O)NNC(=O)NC(=O)c1ccccc1.O=CNC(=O)c1ccccc1
PES_Me_Bz_Dimer_gas_INT1,CC(=O)NNC(=O)NC(=O)c1ccccc1.CC(=O)N[NH2]C(=O)NC(=O)c1ccccc1
PES_Me_Bz_Dimer_gas_PC1,CC(=O)NN.CC(=O)NNC(=O)NC(=O)c1ccccc1.O=C=NC(=O)c1ccccc1
PES_Me_Bz_Dimer_gas_RC1,CC(=O)NNC(=O)NC(=O)c1ccccc1.CC(=O)NNC(=O)NC(=O)c1ccccc1
PES_Ph_Me_Benzylamine_gas_TS1,CNC(=O)NNC(=O)c1ccccc1.[NH3]Cc1ccccc1
PES_Ph_Me_Benzylamine_gas_PC1,CN=C=O.NCc1ccccc1.NNC(=O)c1ccccc1
PES_Ph_Ph_Unimolecular_dmso_Linear_TS1,O=C(NNC(=O)c1ccccc1)Nc1ccccc1.[HH]
PES_Ph_Ph_Unimolecular_dmso_Linear_PC1,NNC(=O)c1ccccc1.O=C=Nc1ccccc1
PES_Me_Ph_Water_gas_TS1,CC(=O)NNC(=O)Nc1ccccc1.O.[HH]
PES_Me_Ph_Water_gas_PC1,CC(=O)NN.O.O=C=Nc1ccccc1
PES_Me_Ph_Water_gas_RC1,CC(=O)NNC(=O)Nc1ccccc1.O
PES_Me_Bz_Hydrazide_chloroform_TS3,CC(=O)NN.CC(=O)NN.O=C=NC(=O)c1ccccc1
PES_Me_Bz_Hydrazide_chloroform_TS2,CC(=O)NN.CC(=O)NNC(=O)NC(=O)c1ccccc1.[HH]
PES_Me_Bz_Hydrazide_chloroform_TS1,CC(=O)NNC(=O)NC(=O)c1ccccc1.CC(=O)N[NH3]
PES_Me_Bz_Hydrazide_chloroform_RC1,CC(=O)NN.CC(=O)NNC(=O)NC(=O)c1ccccc1
PES_Ph_Bz_Water_gas_TS1,O.O=C(NNC(=O)c1ccccc1)NC(=O)c1ccccc1.[HH]
PES_Ph_Bz_Unimolecular_dmso_Linear_TS1,O=C(NNC(=O)c1ccccc1)NC(=O)c1ccccc1.[HH]
PES_Ph_Bz_Unimolecular_dmso_Linear_PC1,NNC(=O)c1ccccc1.O=C=NC(=O)c1ccccc1
PES_Ph_Ph_Dimer_gas_TS1,NNC(=O)c1ccccc1.O=C(NNC(=O)c1ccccc1)Nc1ccccc1.O=C=Nc1ccccc1.[HH]
PES_Ph_Ph_Dimer_gas_INT1,O=C(NNC(=O)c1ccccc1)Nc1ccccc1.O=C(NNC(=O)c1ccccc1)Nc1ccccc1
PES_Ph_Ph_Dimer_gas_PC1,NNC(=O)c1ccccc1.O=C(NNC(=O)c1ccccc1)Nc1ccccc1.O=C=Nc1ccccc1
PES_Ph_Me_Unimolecular_gas_Linear_TS1,CNC(=O)NNC(=O)c1ccccc1.[HH]
PES_Ph_Me_Unimolecular_gas_Linear_PC1,CN=C=O.NNC(=O)c1ccccc1
PES_Me_Me_Benzylamine_dmso_TS2,Cnc(o)[NH2]NC(C)=O.NCc1ccccc1
PES_Me_Me_Benzylamine_dmso_RC1,CNC(=O)NNC(C)=O.NCc1ccccc1
PES_Ph_Me_Water_dmso_TS1,CNC(=O)[NH2]NC(=O)c1ccccc1.O.[HH]
PES_Ph_Me_Dimer_gas_TS1,CN=C=O.CNC(=O)NNC(=O)c1ccccc1.NNC(=O)c1ccccc1.[HH]
PES_Ph_Me_Dimer_gas_INT1,CNC(=O)NNC(=O)c1ccccc1.CNC(=O)NNC(=O)c1ccccc1
PES_Ph_Me_Dimer_gas_PC1,CN=C=O.CNC(=O)NNC(=O)c1ccccc1.NNC(=O)c1ccccc1
PES_Me_Me_Hydrazide_gas_TS1,CC(=O)N[NH3].CNC(=O)NNC(C)=O
PES_Me_Ph_Benzylamine_chloroform_TS2,CC(=O)N[NH2]c(o)n-c1ccccc1.NCc1ccccc1
PES_Me_Ph_Benzylamine_chloroform_INT1,CC(=O)NNc(o)n-c1ccccc1.[NH3]Cc1ccccc1
PES_Me_Bz_Water_chloroform_TS2,CC(=O)NN.O.O=C=NC(=O)c1ccccc1
PES_Me_Bz_Water_chloroform_TS1,CC(=O)NNC(=O)NC(=O)c1ccccc1.[OH3]
PES_Me_Bz_Water_chloroform_RC1,CC(=O)NNC(=O)NC(=O)c1ccccc1.O
PES_Ph_Bz_DMSO_gas_TS2,CS(C)=O.O=C(NNC(=O)c1ccccc1)NC(=O)c1ccccc1.[HH]
PES_Ph_Bz_DMSO_gas_PC1,CS(C)=O.NNC(=O)c1ccccc1.O=C=NC(=O)c1ccccc1
PES_Ph_Bz_DMSO_gas_RC1,CS(C)=O.O=C(NNC(=O)c1ccccc1)NC(=O)c1ccccc1
